Data da venda,Nome Produto,Categoria do produto,Valor unitário,Quantidade vendida,Nome do cliente,Faixa etária do cliente,Gênero do cliente,Localização da compra
2024-06-22 20:35:08.188113,Bolo de Cenoura,Doces,9.9,1,Wyatt Townsend II,56+,Outro,Brasília
2024-03-06 03:59:09.410135,Bolo de Cenoura,Doces,9.9,2,Joseph Hill,18-25,Feminino,São Paulo
2024-06-28 16:15:02.448732,Coxinha Vegana,Salgados,10.2,4,Justin Page,36-45,Outro,Paraná
2024-06-08 10:27:11.507300,Chá de Camomila,Chás Artesanais,8.9,4,Carolyn Cordova,18-25,Outro,Paraná
2024-02-01 13:52:11.217043,Chá Verde,Chás Artesanais,8.5,2,Laura Griffin,46-55,Outro,Brasília
2024-05-26 04:15:03.151320,Cookie,Doces,6.8,2,Brittany Farmer,18-25,Feminino,Paraná
2024-02-07 01:44:28.240645,Chá Verde,Chás Artesanais,8.5,2,Mark Cox,46-55,Masculino,Brasília
2024-12-22 01:06:05.774244,Coxinha Vegana,Salgados,10.2,4,David Moreno,26-35,Masculino,São Paulo
2024-12-21 13:55:00.604769,Quiche de Alho-poró,Salgados,11.0,4,Scott Thomas,26-35,Outro,Online
2024-08-05 10:49:37.805723,Chá de Camomila,Chás Artesanais,8.9,1,Brenda Hale,36-45,Masculino,Paraná
2024-02-14 12:00:46.622837,Quiche de Alho-poró,Salgados,11.0,1,Michael Fitzgerald,26-35,Outro,Online
2024-09-21 07:36:17.675747,Café Arábica,Cafés Especiais,12.9,4,Kelsey Rodriguez,18-25,Masculino,São Paulo
2024-09-17 19:47:31.105353,Chá Verde,Chás Artesanais,8.5,2,Joyce Solis,36-45,Masculino,São Paulo
2024-04-09 06:41:46.414006,Café Arábica,Cafés Especiais,12.9,2,Grace Miller,26-35,Outro,São Paulo
2024-08-22 22:14:45.001997,Bolo de Cenoura,Doces,9.9,1,Anthony Armstrong,18-25,Masculino,Online
2024-06-22 15:32:30.847441,Chá de Hibisco,Chás Artesanais,9.2,4,Stephanie Herrera,26-35,Masculino,Brasília
2024-05-27 07:03:46.632733,Empada de Palmito,Salgados,9.8,1,Michael Miller,26-35,Outro,Brasília
2024-04-11 11:36:28.341804,Café Arábica,Cafés Especiais,12.9,1,Aaron Schroeder,36-45,Masculino,São Paulo
2024-02-09 15:45:37.474911,Chá Verde,Chás Artesanais,8.5,3,Stephen Cowan,26-35,Feminino,São Paulo
2024-06-30 08:53:27.925880,Cookie,Doces,6.8,3,Curtis Taylor,46-55,Masculino,Online
2024-02-19 06:55:31.833447,Café Arábica,Cafés Especiais,12.9,3,Vincent Smith,56+,Masculino,Brasília
2024-01-20 01:18:50.151915,Chá Verde,Chás Artesanais,8.5,2,Scott Alexander,26-35,Masculino,Online
2024-09-04 06:36:23.164863,Café Arábica,Cafés Especiais,12.9,4,Tina Hall,18-25,Feminino,Paraná
2024-05-19 08:04:08.573500,Empada de Palmito,Salgados,9.8,4,Lori Mason,36-45,Outro,Online
2024-02-25 02:43:30.426892,Chá Verde,Chás Artesanais,8.5,4,David Lopez,18-25,Masculino,Brasília
2024-02-05 08:13:31.113290,Brownie,Doces,7.5,4,Rebecca Valencia,36-45,Outro,São Paulo
2024-10-01 20:33:23.981524,Café Orgânico,Cafés Especiais,14.5,3,Michael Powell,46-55,Masculino,Brasília
2024-10-16 13:48:08.084939,Chá de Hibisco,Chás Artesanais,9.2,2,Donna Landry,56+,Outro,São Paulo
2024-08-29 16:33:55.862303,Café Orgânico,Cafés Especiais,14.5,2,Alyssa Day,26-35,Outro,Paraná
2024-04-05 04:07:12.706834,Brownie,Doces,7.5,3,Pamela Weaver,36-45,Masculino,Paraná
2024-11-09 09:29:38.190395,Coxinha Vegana,Salgados,10.2,2,Kenneth Brown,36-45,Feminino,Paraná
2024-12-13 18:01:16.034244,Café Arábica,Cafés Especiais,12.9,3,Amy Ramirez,36-45,Outro,Brasília
2024-06-06 03:44:24.568843,Café Orgânico,Cafés Especiais,14.5,4,Ralph Anderson,26-35,Masculino,Paraná
2024-05-20 17:27:14.383555,Café Arábica,Cafés Especiais,12.9,3,Karen Morales DDS,26-35,Feminino,Paraná
2024-05-17 05:04:01.057742,Café Orgânico,Cafés Especiais,14.5,4,April Randolph,36-45,Outro,Brasília
2024-01-12 03:55:48.421437,Chá de Hibisco,Chás Artesanais,9.2,4,Andrew Reynolds,46-55,Outro,São Paulo
2024-11-10 07:52:46.784282,Cookie,Doces,6.8,1,Angel Reilly,18-25,Feminino,São Paulo
2024-09-14 12:00:05.866370,Bolo de Cenoura,Doces,9.9,3,Matthew Davis MD,26-35,Masculino,Brasília
2024-02-19 09:26:18.012578,Empada de Palmito,Salgados,9.8,1,Matthew Mcmillan,18-25,Masculino,Paraná
2024-06-26 15:35:12.148987,Chá de Camomila,Chás Artesanais,8.9,3,Ashley Moreno,36-45,Feminino,Brasília
2024-09-03 07:43:42.261806,Café Arábica,Cafés Especiais,12.9,3,James Randall,46-55,Masculino,Brasília
2024-09-07 21:08:27.013329,Bolo de Cenoura,Doces,9.9,1,Mariah Robles,18-25,Masculino,Brasília
2024-06-22 07:38:44.038641,Cookie,Doces,6.8,1,Mark Mills,56+,Masculino,Paraná
2024-07-03 07:02:50.154423,Chá de Camomila,Chás Artesanais,8.9,3,Curtis Taylor,36-45,Feminino,Online
2024-06-29 00:28:11.636539,Chá Verde,Chás Artesanais,8.5,2,Michael Nixon,18-25,Masculino,Online
2024-08-13 19:22:54.930750,Café Arábica,Cafés Especiais,12.9,4,Desiree Spencer,56+,Feminino,São Paulo
2024-12-22 06:46:55.164688,Brownie,Doces,7.5,1,Susan Cunningham,36-45,Feminino,Brasília
2024-01-11 14:56:41.313106,Coxinha Vegana,Salgados,10.2,4,Anthony Romero,46-55,Feminino,Paraná
2024-11-01 08:33:53.815004,Brownie,Doces,7.5,2,Dustin Gallegos,18-25,Masculino,Online
2024-09-27 22:01:31.452104,Cookie,Doces,6.8,2,Michael Nixon,18-25,Feminino,Paraná
2024-11-21 13:22:57.335834,Quiche de Alho-poró,Salgados,11.0,2,Karen Lopez,26-35,Masculino,Brasília
2024-02-05 23:58:02.450909,Brownie,Doces,7.5,1,Michael Gonzalez,56+,Feminino,Brasília
2024-05-10 15:27:20.637281,Café Orgânico,Cafés Especiais,14.5,2,Kristen Sloan,26-35,Feminino,Online
2024-08-29 13:48:35.123454,Café Robusta,Cafés Especiais,10.9,1,Todd Bishop,36-45,Feminino,Brasília
2024-08-24 00:38:52.666919,Coxinha Vegana,Salgados,10.2,2,Rebekah Greene,56+,Outro,São Paulo
2024-11-28 23:41:06.737736,Cookie,Doces,6.8,4,Christopher Rubio,56+,Feminino,Paraná
2024-04-21 15:24:55.577080,Café Orgânico,Cafés Especiais,14.5,4,Christopher Porter,26-35,Feminino,Online
2024-01-08 23:51:49.704099,Cookie,Doces,6.8,3,John Smith,26-35,Masculino,São Paulo
2024-06-17 07:25:08.632460,Quiche de Alho-poró,Salgados,11.0,4,Evan Cooper,26-35,Outro,São Paulo
2024-07-26 02:16:14.623279,Cookie,Doces,6.8,3,John Garcia,46-55,Feminino,Paraná
2024-04-07 11:36:03.741689,Chá de Hibisco,Chás Artesanais,9.2,4,Jack Mills,36-45,Outro,Paraná
2024-08-02 14:59:29.825754,Empada de Palmito,Salgados,9.8,1,Johnathan Brown,36-45,Outro,Online
2024-05-17 09:57:14.098396,Chá de Camomila,Chás Artesanais,8.9,4,Matthew Harrington,26-35,Outro,Paraná
2024-07-27 09:37:31.858043,Café Arábica,Cafés Especiais,12.9,3,Jennifer Parks,26-35,Masculino,São Paulo
2024-02-06 17:25:36.569312,Café Arábica,Cafés Especiais,12.9,3,Brian Fitzgerald,56+,Outro,Brasília
2024-05-02 08:14:35.194246,Empada de Palmito,Salgados,9.8,2,Corey Cortez,36-45,Masculino,Online
2024-10-06 21:38:09.655511,Empada de Palmito,Salgados,9.8,1,Phillip Berry,18-25,Outro,Brasília
2024-08-12 03:38:51.316195,Café Robusta,Cafés Especiais,10.9,4,Ryan Rosales,18-25,Outro,Online
2024-06-08 22:38:08.387623,Café Orgânico,Cafés Especiais,14.5,2,Rebecca Hicks,56+,Masculino,Online
2024-11-05 23:42:34.782828,Chá de Hibisco,Chás Artesanais,9.2,4,Nicolas Salas,26-35,Outro,Paraná
2024-11-02 16:51:14.868130,Quiche de Alho-poró,Salgados,11.0,4,Kelly Rowe,36-45,Outro,Online
2024-04-14 07:44:05.176174,Coxinha Vegana,Salgados,10.2,2,Jonathan Walker,46-55,Feminino,Paraná
2024-12-29 02:11:16.136670,Chá de Camomila,Chás Artesanais,8.9,2,Lauren Jackson,46-55,Outro,Online
2024-03-23 15:49:26.282782,Chá de Hibisco,Chás Artesanais,9.2,2,Danielle Smith,18-25,Feminino,São Paulo
2024-02-03 04:01:04.660374,Cookie,Doces,6.8,2,Robert Dennis,46-55,Masculino,São Paulo
2024-02-04 09:07:17.057014,Chá Verde,Chás Artesanais,8.5,2,Margaret Harper,36-45,Outro,São Paulo
2024-01-25 06:38:37.139585,Café Robusta,Cafés Especiais,10.9,4,Bonnie Santos,26-35,Feminino,Online
2024-06-22 03:38:01.858709,Café Arábica,Cafés Especiais,12.9,2,Robert Garza,26-35,Outro,Brasília
2024-10-17 22:10:27.458629,Empada de Palmito,Salgados,9.8,1,Lisa Hensley,56+,Feminino,Online
2024-04-20 15:15:19.441636,Quiche de Alho-poró,Salgados,11.0,3,Justin Freeman,36-45,Outro,São Paulo
2024-06-07 17:25:15.587208,Coxinha Vegana,Salgados,10.2,2,Larry Robertson,26-35,Masculino,Online
2024-03-14 14:43:07.487870,Bolo de Cenoura,Doces,9.9,2,Dr. Samuel Holmes DDS,46-55,Outro,São Paulo
2024-08-16 11:34:58.920993,Coxinha Vegana,Salgados,10.2,4,John Dixon,26-35,Feminino,Brasília
2024-10-05 01:19:02.813660,Café Orgânico,Cafés Especiais,14.5,2,Troy Mills,18-25,Feminino,São Paulo
2024-01-07 07:05:36.530811,Café Robusta,Cafés Especiais,10.9,2,Tina Hall,26-35,Feminino,Paraná
2024-11-10 09:21:05.307764,Cookie,Doces,6.8,2,Michael Johnson,46-55,Feminino,Paraná
2024-03-18 08:16:10.338296,Café Robusta,Cafés Especiais,10.9,4,Brittany Farmer,36-45,Masculino,Paraná
2024-09-27 09:21:40.693246,Chá de Camomila,Chás Artesanais,8.9,2,Cheyenne Horton,46-55,Outro,Brasília
2024-12-08 20:07:44.290801,Café Arábica,Cafés Especiais,12.9,3,Anthony Romero,46-55,Outro,São Paulo
2024-08-12 01:56:09.572469,Chá Verde,Chás Artesanais,8.5,4,Eric Barker,36-45,Outro,São Paulo
2024-06-07 21:22:01.749191,Quiche de Alho-poró,Salgados,11.0,3,Krista Martinez,46-55,Masculino,Brasília
2024-08-16 22:22:14.825455,Chá de Hibisco,Chás Artesanais,9.2,4,Jeremy Dalton,36-45,Feminino,Online
2024-05-12 21:37:25.490837,Quiche de Alho-poró,Salgados,11.0,2,Lori Hernandez,18-25,Outro,São Paulo
2024-02-24 11:57:08.181055,Café Orgânico,Cafés Especiais,14.5,3,Michael Woods,26-35,Outro,Brasília
2024-04-19 10:08:42.107874,Café Robusta,Cafés Especiais,10.9,4,Curtis Watson,26-35,Feminino,Brasília
2024-04-26 03:52:17.405503,Brownie,Doces,7.5,1,Laura Bush,26-35,Feminino,Brasília
2024-01-24 09:33:36.252040,Empada de Palmito,Salgados,9.8,2,Mary Campbell,46-55,Feminino,São Paulo
2024-05-30 21:33:11.839909,Coxinha Vegana,Salgados,10.2,4,Cindy Cannon,26-35,Outro,Paraná
2024-08-23 20:17:12.101156,Empada de Palmito,Salgados,9.8,1,Jake Shaw,46-55,Outro,Paraná
2024-08-07 13:33:45.060320,Brownie,Doces,7.5,4,Rebecca Nguyen,56+,Feminino,Online
2024-02-11 10:16:21.195998,Chá de Hibisco,Chás Artesanais,9.2,1,Michelle Rodriguez,36-45,Feminino,Paraná
2024-03-30 21:41:47.921457,Café Robusta,Cafés Especiais,10.9,2,Dr. Julie Miller,26-35,Feminino,São Paulo
2024-06-18 21:51:28.178539,Cookie,Doces,6.8,3,Alicia Li,26-35,Outro,Paraná
2024-06-08 18:49:39.853391,Café Orgânico,Cafés Especiais,14.5,1,Larry Harding,18-25,Masculino,Online
2024-01-14 07:43:16.242061,Quiche de Alho-poró,Salgados,11.0,4,Alicia Dillon,18-25,Feminino,Online
2024-02-19 04:57:03.385987,Coxinha Vegana,Salgados,10.2,2,Debra Morton,26-35,Feminino,São Paulo
2024-10-20 21:45:59.355882,Bolo de Cenoura,Doces,9.9,1,Ryan Vaughn,26-35,Outro,Paraná
2024-03-05 08:59:31.847671,Quiche de Alho-poró,Salgados,11.0,4,Jeffrey Howell,26-35,Outro,Online
2024-12-17 17:10:53.263153,Cookie,Doces,6.8,4,Angelica Parker,18-25,Outro,São Paulo
2024-01-08 22:14:04.089470,Brownie,Doces,7.5,4,Richard Reyes,26-35,Outro,São Paulo
2024-01-31 01:08:08.271213,Chá Verde,Chás Artesanais,8.5,1,Anna Ross,26-35,Outro,Paraná
2024-11-12 05:49:26.434331,Café Arábica,Cafés Especiais,12.9,1,Brian Martin,18-25,Masculino,Paraná
2024-05-28 04:03:27.002707,Café Orgânico,Cafés Especiais,14.5,1,Michael Sims,18-25,Masculino,Brasília
2024-08-27 15:30:02.326702,Bolo de Cenoura,Doces,9.9,3,Michael Dennis,18-25,Feminino,Brasília
2024-12-10 04:12:45.499181,Café Orgânico,Cafés Especiais,14.5,1,Gregory Peck,26-35,Feminino,Paraná
2024-02-21 02:57:42.936575,Chá Verde,Chás Artesanais,8.5,1,Michael Cooper,56+,Feminino,Brasília
2024-09-25 08:58:10.618545,Café Robusta,Cafés Especiais,10.9,1,Jennifer Nichols,18-25,Outro,Brasília
2024-07-09 06:42:57.777007,Chá Verde,Chás Artesanais,8.5,3,Kurt Hancock,36-45,Feminino,Brasília
2024-12-12 12:35:49.255620,Chá Verde,Chás Artesanais,8.5,1,Joseph Haynes,46-55,Outro,São Paulo
2024-04-01 02:43:22.153059,Empada de Palmito,Salgados,9.8,4,Jaime Walker,26-35,Outro,Online
2024-03-27 21:43:25.039287,Bolo de Cenoura,Doces,9.9,1,Kimberly Lutz,18-25,Outro,Brasília
2024-10-21 22:55:56.602309,Chá de Camomila,Chás Artesanais,8.9,4,Travis Tucker,26-35,Masculino,São Paulo
2024-08-01 08:21:30.272485,Chá Verde,Chás Artesanais,8.5,4,James Jefferson,18-25,Masculino,Online
2024-09-30 22:08:21.485010,Quiche de Alho-poró,Salgados,11.0,4,Paul Moreno,26-35,Masculino,São Paulo
2024-06-03 22:49:59.328211,Bolo de Cenoura,Doces,9.9,3,David Grant,36-45,Feminino,Brasília
2024-03-04 21:36:55.299567,Chá de Hibisco,Chás Artesanais,9.2,3,Brittany Melton,46-55,Outro,São Paulo
2024-06-09 15:20:42.714059,Coxinha Vegana,Salgados,10.2,3,Michael Phillips,18-25,Masculino,Paraná
2024-08-03 20:59:10.305033,Chá Verde,Chás Artesanais,8.5,1,April Frost,18-25,Feminino,Paraná
2024-05-16 18:26:32.012227,Coxinha Vegana,Salgados,10.2,4,Mitchell Sellers,36-45,Outro,Online
2024-04-25 03:35:57.101053,Bolo de Cenoura,Doces,9.9,3,Amber Vang,26-35,Masculino,Brasília
2024-09-06 12:41:51.964514,Quiche de Alho-poró,Salgados,11.0,3,William David DDS,36-45,Masculino,Brasília
2024-11-16 20:22:40.995400,Chá de Camomila,Chás Artesanais,8.9,1,Jamie Snyder,46-55,Outro,Brasília
2024-05-12 08:16:08.996897,Bolo de Cenoura,Doces,9.9,3,Michael Evans,46-55,Masculino,Online
2024-10-26 08:08:42.418271,Empada de Palmito,Salgados,9.8,1,Debra White,56+,Feminino,Online
2024-12-18 02:50:15.301297,Café Robusta,Cafés Especiais,10.9,2,Timothy Edwards,26-35,Feminino,Brasília
2024-11-03 14:40:14.890328,Chá de Hibisco,Chás Artesanais,9.2,3,Benjamin Reyes,36-45,Feminino,Online
2024-12-09 23:56:49.710935,Café Robusta,Cafés Especiais,10.9,2,Alexander Collins,26-35,Feminino,Brasília
2024-10-14 08:40:10.257777,Quiche de Alho-poró,Salgados,11.0,1,Robert Marquez,56+,Outro,Online
2024-07-20 22:41:29.793559,Coxinha Vegana,Salgados,10.2,4,Aimee Turner,26-35,Outro,Online
2024-12-15 11:31:27.662392,Coxinha Vegana,Salgados,10.2,3,Gwendolyn Klein,26-35,Masculino,Paraná
2024-10-23 09:40:23.592562,Quiche de Alho-poró,Salgados,11.0,1,Michael Bowen,18-25,Outro,São Paulo
2024-11-12 20:02:10.554781,Chá de Hibisco,Chás Artesanais,9.2,4,Anna Briggs,18-25,Feminino,Brasília
2024-05-21 05:06:04.541295,Chá Verde,Chás Artesanais,8.5,4,Paula Brown,56+,Outro,São Paulo
2024-05-23 18:20:41.203593,Quiche de Alho-poró,Salgados,11.0,2,Susan Davis,26-35,Feminino,Online
2024-04-03 12:23:30.705526,Empada de Palmito,Salgados,9.8,1,Phillip Berry,26-35,Masculino,Online
2024-10-27 06:46:57.775373,Chá de Camomila,Chás Artesanais,8.9,4,Danielle Bryant,36-45,Masculino,Brasília
2024-03-17 18:57:49.906384,Cookie,Doces,6.8,3,Joseph Hill,56+,Outro,Paraná
2024-11-30 13:11:05.455008,Café Robusta,Cafés Especiais,10.9,3,Steve Miller PhD,26-35,Outro,Online
2024-11-17 01:55:38.984600,Chá de Hibisco,Chás Artesanais,9.2,2,Jacob Santos,26-35,Feminino,Online
2024-05-28 19:57:39.382313,Empada de Palmito,Salgados,9.8,4,Daniel Campbell,18-25,Outro,São Paulo
2024-11-12 13:05:52.010526,Coxinha Vegana,Salgados,10.2,1,Lori Mitchell,46-55,Masculino,Paraná
2024-12-09 00:05:33.757848,Quiche de Alho-poró,Salgados,11.0,3,Angelica Vincent,46-55,Feminino,São Paulo
2024-05-30 03:30:12.602331,Coxinha Vegana,Salgados,10.2,4,Denise Davenport,26-35,Outro,Paraná
2024-09-18 14:43:00.982447,Café Robusta,Cafés Especiais,10.9,4,Erin Warner,26-35,Feminino,Brasília
2024-10-26 19:51:38.747847,Chá de Hibisco,Chás Artesanais,9.2,2,Margaret Erickson,36-45,Masculino,Brasília
2024-09-11 07:34:30.213621,Empada de Palmito,Salgados,9.8,3,Jonathan Brooks,36-45,Feminino,Brasília
2024-05-08 11:10:43.748464,Bolo de Cenoura,Doces,9.9,3,Kari Lloyd,26-35,Feminino,Online
2024-10-23 16:13:10.364592,Café Orgânico,Cafés Especiais,14.5,1,Cheyenne Horton,18-25,Outro,Paraná
2024-06-14 00:30:36.063926,Chá de Camomila,Chás Artesanais,8.9,3,Dr. Hannah Patterson,26-35,Masculino,Brasília
2024-01-20 05:14:59.475938,Coxinha Vegana,Salgados,10.2,1,Kyle Welch,26-35,Masculino,Brasília
2024-08-18 02:09:34.519694,Brownie,Doces,7.5,3,Casey Gillespie,26-35,Feminino,São Paulo
2024-02-19 12:45:05.976294,Chá de Camomila,Chás Artesanais,8.9,2,Benjamin Reyes,36-45,Masculino,São Paulo
2024-08-17 19:49:40.147767,Chá Verde,Chás Artesanais,8.5,3,Theresa Torres,46-55,Outro,São Paulo
2024-01-31 07:40:25.458051,Quiche de Alho-poró,Salgados,11.0,1,Margaret Coleman,18-25,Outro,Paraná
2024-07-07 16:12:43.081808,Empada de Palmito,Salgados,9.8,1,Debra Valentine,18-25,Feminino,Paraná
2024-10-30 20:40:59.104339,Chá Verde,Chás Artesanais,8.5,2,Ashley Moreno,56+,Outro,Paraná
2024-11-05 12:20:58.633908,Quiche de Alho-poró,Salgados,11.0,3,Allison Spencer,26-35,Feminino,São Paulo
2024-10-16 09:52:13.027737,Empada de Palmito,Salgados,9.8,3,Justin Torres,18-25,Outro,Paraná
2024-06-23 22:18:28.711696,Bolo de Cenoura,Doces,9.9,2,Mrs. Virginia Daniels,18-25,Outro,Online
2024-04-05 02:20:57.604711,Brownie,Doces,7.5,3,Kara Sandoval,46-55,Outro,Brasília
2024-10-28 20:00:25.398994,Empada de Palmito,Salgados,9.8,3,Andrea Ho,46-55,Outro,Paraná
2024-03-13 18:05:12.120281,Chá de Camomila,Chás Artesanais,8.9,1,Scott Williams,36-45,Outro,São Paulo
2024-03-07 02:54:15.457137,Café Orgânico,Cafés Especiais,14.5,3,Matthew Watts,18-25,Feminino,Brasília
2024-12-10 14:29:40.422191,Bolo de Cenoura,Doces,9.9,3,Patrick Thornton,18-25,Feminino,Paraná
2024-03-22 14:59:52.582326,Coxinha Vegana,Salgados,10.2,2,Lisa Hunter,18-25,Outro,Paraná
2024-12-02 12:15:52.773916,Brownie,Doces,7.5,2,Todd Moore,56+,Feminino,Paraná
2024-08-16 18:54:04.262345,Brownie,Doces,7.5,4,Mitchell Sellers,56+,Masculino,São Paulo
2024-12-21 14:14:39.019996,Quiche de Alho-poró,Salgados,11.0,1,Leslie Gardner,18-25,Feminino,Brasília
2024-09-12 23:45:51.535398,Bolo de Cenoura,Doces,9.9,3,Barbara Dudley,26-35,Outro,Paraná
2024-05-26 12:40:18.409939,Quiche de Alho-poró,Salgados,11.0,3,Evan Cooper,26-35,Outro,São Paulo
2024-04-04 12:25:20.825747,Coxinha Vegana,Salgados,10.2,4,Bernard Smith,46-55,Outro,Paraná
2024-05-14 03:39:25.046523,Chá de Camomila,Chás Artesanais,8.9,3,Megan Orr,36-45,Feminino,Paraná
2024-02-12 02:54:29.927370,Coxinha Vegana,Salgados,10.2,1,Joseph Knight,18-25,Masculino,Paraná
2024-06-07 01:51:30.733051,Coxinha Vegana,Salgados,10.2,4,Nathan Freeman,18-25,Outro,São Paulo
2024-06-14 10:14:04.164900,Empada de Palmito,Salgados,9.8,1,Margaret Miller,36-45,Outro,Online
2024-02-13 19:24:29.152886,Chá de Hibisco,Chás Artesanais,9.2,4,Jessica Harris,18-25,Feminino,Online
2024-03-10 09:52:12.368689,Brownie,Doces,7.5,4,Phillip Miller,26-35,Feminino,Online
2024-10-12 22:00:49.299222,Chá de Hibisco,Chás Artesanais,9.2,2,Joseph Coleman,56+,Feminino,Paraná
2024-06-29 19:18:19.693880,Café Robusta,Cafés Especiais,10.9,1,John Coffey,18-25,Masculino,Online
2024-11-08 10:20:16.142646,Café Orgânico,Cafés Especiais,14.5,3,Ashley Wise,36-45,Outro,Brasília
2024-12-29 02:36:55.853455,Café Robusta,Cafés Especiais,10.9,3,Meghan Rush,56+,Outro,São Paulo
2024-09-04 03:30:50.090676,Café Orgânico,Cafés Especiais,14.5,1,Felicia Aguilar,36-45,Masculino,Paraná
2024-05-29 13:18:56.675090,Chá de Camomila,Chás Artesanais,8.9,3,Connie Lawrence,26-35,Masculino,São Paulo
2024-04-15 21:08:44.353445,Brownie,Doces,7.5,3,Benjamin Smith,36-45,Masculino,São Paulo
2024-08-13 13:04:54.772172,Café Robusta,Cafés Especiais,10.9,1,Marcus King,46-55,Outro,Paraná
2024-05-14 12:24:14.227281,Café Arábica,Cafés Especiais,12.9,4,Kathleen Robertson,18-25,Outro,Online
2024-06-16 07:01:34.403371,Café Orgânico,Cafés Especiais,14.5,1,Elizabeth Kelley,26-35,Feminino,Brasília
2024-02-18 01:14:51.638466,Quiche de Alho-poró,Salgados,11.0,4,Cynthia Vang,56+,Masculino,Paraná
2024-09-09 16:43:44.463673,Quiche de Alho-poró,Salgados,11.0,3,Michael Barker,18-25,Feminino,Online
2024-09-17 15:54:32.543471,Quiche de Alho-poró,Salgados,11.0,3,Jeremy Dalton,26-35,Feminino,Brasília
2024-09-25 09:12:59.698242,Café Robusta,Cafés Especiais,10.9,3,Monica Brooks,18-25,Masculino,Paraná
2024-02-04 19:03:23.029629,Cookie,Doces,6.8,2,Robert Griffin,26-35,Feminino,Online
2024-05-01 18:56:15.548292,Café Orgânico,Cafés Especiais,14.5,4,Michael Lyons,46-55,Outro,São Paulo
2024-11-27 03:00:33.100420,Empada de Palmito,Salgados,9.8,2,Anthony French,18-25,Feminino,Online
2024-12-08 03:09:29.748791,Empada de Palmito,Salgados,9.8,2,Jennifer Garcia,18-25,Feminino,Paraná
2024-08-06 17:09:37.467303,Cookie,Doces,6.8,1,Jason Rocha,18-25,Feminino,Brasília
2024-01-17 12:57:27.346903,Café Arábica,Cafés Especiais,12.9,2,Debra Morton,26-35,Outro,Paraná
2024-08-14 11:39:26.660461,Chá de Camomila,Chás Artesanais,8.9,1,April Frost,36-45,Outro,Paraná
2024-05-24 20:59:06.026936,Café Robusta,Cafés Especiais,10.9,1,Mary Miller,46-55,Feminino,Brasília
2024-12-19 13:40:39.075179,Bolo de Cenoura,Doces,9.9,2,Janet Kane DVM,26-35,Outro,São Paulo
2024-07-30 10:46:34.072262,Chá de Camomila,Chás Artesanais,8.9,4,Nicholas Payne,18-25,Masculino,Paraná
2024-07-02 17:26:03.290554,Brownie,Doces,7.5,4,Lori Johns,26-35,Masculino,Online
2024-11-16 12:33:17.970859,Café Orgânico,Cafés Especiais,14.5,4,Kim Carter,36-45,Outro,Paraná
